RAZAO;INFORMAL;RAMOATIVID;TIPOEMP;UNIDADE;TEL1;TELC2;FAX;NCHECKOUT;ENDEMP;BAIRROEMP;CEP;CIDADEEMP;UFEMP;Origem 
Supervarejao Saude Ltda;SUPERVAREJAO SAUDE - TABOAO;Varejo Alimenticio;Filial;4;4091-8366;;;0;Estr da Agua Funda, 613;Jd Sta Luzia;09930-360;Sao Paulo;SP;MKR
Super Varejao Saude Ltda;SM SAUDE;Varejo Alimenticio;Filial;;4091-3702/5073-3177;;;0;R Brasilia, 887;Jd Sao Judas Tadeu;09931400;Diadema;SP;MKR
Shizue Honda Shimizu e Filhos Ltda;SM ABC;Varejo Alimenticio;Matriz;;4076-3327;;;0;R Figueira, 294;Jd ABC;09940510;Diadema;SP;MKR
Bercosul Ltda;BERCOSUL;Industria Outros;Matriz;;4075-7380;;;0;R Kal Huller, 296;Caiema;09941-010;Diadema;SP;MKR
True Seal - Vedacoes Tecnicas Ltda;TRUE SEAL;Industria Outros;Matriz;;11-4071-4071;;11-4071-4694;0;R 9 de Julho, 247;Jd Canhema;09941-380;Diadema;SP;MKR
Arabian Bread Paes e Doces Ltda;ARABIAN;Industria Alimentícia;Matriz;;11-4075-4522;;11-4745-3535;0;Av Piraporinha, 866;Vl Nogueria;09950-000;Diadema;SP;MKR
Dia Brasil Sociedade Ltda;DIA BRASIL;Varejo Alimenticio;Filial;73;11-4046-2424;;;0;Av Antonio Dias Adorno, 718;Vl Nogueira;09951-000;Diadema;SP;MKR
Mocom Produtos Alimenticios Ltda;MOCOM;Industria Alimentícia;Matriz;;11-4057-4322;;11-4044-1279;0;R Jose Bonifacio, 1853;Vl Sta Maria;09960-120;Diadema;SP;MKR
Comercial Oswaldo Cruz Ltda;SM JOANIN;Varejo Alimenticio;Filial;15;11-4066-7602;;;0;R Prudente de Moraes, 267;Promissao;09960-500;Diadema;SP;MKR
Component Industria e Comercio Ltda;COMPONENT;Industria Outros;Matriz;;11-4061-8400;;11-4061-8424;0;Av Ferraz Alvim, 298;Jd Ruyce;09961-550;Diadema;SP;MKR
Comercial Oswaldo Cruz Ltda;SM JOANIN;Varejo Alimenticio;Filial;12;4092-3329;;4092-3330;0;R Guarani, 810;Vl Nova Conceicao;09980-720;Diadema;SP;MKR
Mercadao de Carnes ABC Ltda;CARNES ABC;Varejo Alimenticio;Matriz;;11-4092-3214;;11-4057-1663;0;Av Lico Lima, 552;Vl Conceicao;09981-420;Diadema;SP;MKR
Ki Espeto Ind e Com de Carnes e Espetinhos Ltda;KI ESPETO;Industria Alimentícia;Matriz;;11-4092-3965;;11-4092-3837;0;R Bororos, 37;Pq Real;09990-270;Diadema;SP;MKR
International Refrigeracao;INTERNATIONAL;Revenda Equipamentos;Matriz;;11-4055-2233;;;0;Av Dom Pedro I, 490;;09991-000;Diadema;SP;MKR
Project;PROJECT;Industria Outros;Matriz;;11-4056-9601;;;0;R Caetes, 457;Vl Conceicao;09991-110;Diadema;SP;MKR
Fabrica de Chocolates Salware ltda;SALWARE;Industria Alimentícia;Matriz;;41-673-2118;;41-673- 2118;0;Rod Pref Antonio Alceu Zielonka, 1805;Planta Deodoro;10330-400;Piraquara;PR;MKR
Novanis Animal Ltda;NOVANIS;Industria Outros;Matriz;;66-411-0600;;;0;Rod BR 364 Km 198,99;Distrito Vetorasso;10874-800;Rondonopolis;MT;MKR
Bunge Alimentos S/A;BUNGE ALIMENTOS;Industria Alimentícia;Matriz;Paqueta;13-3228-7300;;;0;R Xavier da Silveira, 86;Paqueta;11013-928;Santos;SP;MKR
Barcelona Distribuidora Ltda;BARCELONA;Varejo Outros;Matriz;;13-3232-9632;;;0;R Silva Jardim, 156;Vl Mathias;11015-020;Santos;SP;MKR
Dicico Home Center da Construcao;DICICO;Varejo Outros;Filial;Santos;13-3238-0033;;;0;R Alexandre Martins, 80;Aparecida;11025-200;Santos;SP;MKR
Cia Brasileira de Distribuicao;PAO DE ACUCAR - SANTOS - AQUARIO;Varejo Alimenticio;Filial;0066;13-3236-1003;;13-3236-2597;0;R Bassin Nagib Trabulsi, 106;Aquario;11030-540;Santos;SP;MKR
Cia Brasileira de Distribuicao;PAO DE ACUCAR - SANTOS - EPITACIO P;Varejo Alimenticio;Filial;1743;13 3236-2814;;13  3236-2514;0;Av Epitacio Pessoa, 542;Ponta da Praia;11030-600;Santos;SP;MKR
G & N Romana Ltda NE;ROMANA;Varejo Alimenticio;Matriz;;13-3289-6283;;;0;R Pereira Barreto, 35;Gonzaga;11065-110;Santos;SP;MKR
Cia Brasileira de Distribuicao;BARATEIRO - PEDREIRA;Varejo Alimenticio;Filial;0692;13  3222-6052;;13  3234-8152;0;Av Sen Pinheiro Machado, 143;Vl Matias;11075-001;Santos;SP;MKR
Cia Brasileira de Distribuicao;BARATEIRO - SANTOS - NS DE FATIMA;Varejo Alimenticio;Filial;1745;13 3230-2941;;13 3230-2941;0;Av Nsa Sra de Fatima, 804;Areia Branca;11085-202;Santos;SP;MKR
Servico Social do Comercio;SESC SANTOS;Prestação Serviços Clubes;Filial;Santos;13   3227-5959;;13    3227-7392;0;R Cons Ribas, 136;Aparecida;11090-040;Santos;SP;MKR
Cia Brasileira de Distribuicao;BARATEIRO - MACUCO;Varejo Alimenticio;Matriz;0044;13-3238-0148;;13-3231-7854;8;Av Dr Pedro Lessa, 1801;Macuco;11100-000;Santos;SP;MKR
Supermercado Cacula de Bertioga Ltda;SM CACULA;Varejo Alimenticio;Filial;Loja 2;13-3317-1770;;13-3317-1770;0;Av 19 de Maio, 560;Jd Albatroz;11250-000;Bertioga;SP;MKR
Cia Brasileira de Distribuicao;BARATEIRO -SAO VICENTE-FREI GASPAR;Varejo Alimenticio;Filial;1746;13 3468-9697;;13 3470-4037;0;R Frei Gaspar, 2000;Beira Mar;11300-020;Sao Vicente;SP;MKR
Frimar Ltda;FRIMAR;Varejo Alimenticio;Matriz;;13-3463-3375;;;0;Av Joao Francisco Bensdorp, 1112;Cid Nautica;11350-011;Sao Vicente;SP;MKR
Cia Brasileira de Distribuicao;BARATEIRO - SAO VICENTE - JD.GUACU;Varejo Alimenticio;Filial;1777;13 3561-5637;;;0;R Antonio Emerick, 1439;Jd Guacu;11370-001;Sao Vicente;SP;MKR
Sorvetes Suples Industria e Comercio Ltda;SORVETES SUPLES;Varejo Outros;Matriz;;013-3468-5435;;013-3468-5435;0;Av. Persio de Queiros Filho, 395;Catiapoa;11370-300;Sao Vicente;SP;MKR
Supermercado Rio do Meio Ltda;SM RIO DO MEIO;Varejo Alimenticio;Matriz;;013-3358-2768;;;0;Av. Antonio correia , 524;Vila ligia;11430-030;Guaruja;SP;MKR
Cia Brasileira de Distribuicao;BARATEIRO - VICENTE DE CARVALHO;Varejo Alimenticio;Filial;1756;13  3352-3200;;13  3352-6806;0;Av Santos Dumont, 1693;Monteiro da Cruz;11460-001;Guaruja;SP;MKR
Suco Citrico Cutrale Ltda;CUTRALE;Industria Alimentícia;Filial;;13-3387-6161;;13-3387-6161;0;Av Santos Dumont, 4364;Conceicaozinha;11460-006;Guaruja;SP;MKR
Supermercado Forte Itapema Ltda;SM ITAPEMA;Varejo Alimenticio;Matriz;;13-3341-2009;;13-3341-2009;6;R 1 de Junho, 200;Vicente de Carvalho;11460-240;Guaruja;SP;MKR
Frigorifico Santa Marinha Ltda;FRIGORIF?CO SANTA MARINHA;Industria da Carne;Matriz;;13-3361-1218;;;0;R Piaui, 18;Vl Sta Rosa;11520-080;Cubatao;SP;MKR
Supermercado Bonsucesso;SM BONSUCESSO;Varejo Alimenticio;Matriz;;13-3361-1889;;;0;Av Nsa Sra da Lapa, 1400;Vl Nova;11525-000;Cubatao;SP;MKR
Columbians Chemikals;COLUMBIAN;Industria Outros;Matriz;;13-3362-7229;;13-3361-9588;0;Estr Rene Fonseca, s/n;Piacaguera;11573-904;Cubatao;SP;MKR
Supermercado Semar de Sao Sebastiao Ltda;SM SEMAR;Varejo Alimenticio;Filial;Sao Sebastiao;12  3892-2531;;;0;R Capitao Luis Soares, 466;Centro;11600-000;Sao Sebastiao;SP;MKR
Comercial Osvaldo Tarora Ltda;SM SHIBATA;Varejo Alimenticio;Filial;Loja 2;12-3882-3766;;12-3881-1811;16;R Oswaldo Cruz, 276;Centro;11660-300;Caraguatatuba;SP;MKR
Supermercado Semar de Caragua Ltda;SM SEMAR;Varejo Alimenticio;Filial;Caraguatatuba;12   3882-6436;;12;12;Av Rio Branco, 780;Jd Indaia;11665-600;Caraguatatuba;SP;MKR
Supermercado Semar de Ubatuba Ltda;SM SEMAR;Varejo Alimenticio;Filial;Ubatuba;12-3833-1166;;12-3833-1166;16;Av Dna Maria Alves, 715;Centro;11680-000;Ubatuba;SP;MKR
Cia Brasileira de Distribuicao;PAO DE ACUCAR - PRAIA GRANDE;Varejo Alimenticio;Filial;0697;13   3494-1847;;;0;R Tupi, 633;Vl Tupi;11700-260;Praia Grande;SP;MKR
Prefeitura Municipal de Praia Grande;PREFEITURA DE SANTOS;Orgão Público;Matriz;;13  3471-4519;;;0;Av Pres Kennedy, 9000;Vl Mirim;11700-490;Santos;SP;MKR
Praia Grande Point Comestiveis Ltda;HABIBS - PRAIA GRANDE;Varejo Alimenticio;Filial;;13-3473-9338;;13-3473-9339;2;Av Pres Costa e Silva, 70;Boqueirao;11701-000;Praia Grande;SP;MKR
Central Comercial Importadora Ltda;SM CENTRAL;Varejo Alimenticio;Matriz;Praia Grande;013-3499-6500;;;0;R. copacabana ,95;Vl guilhermina;11701-670;Praia grande;SP;MKR
Danilo Eduardo Bolota EPP;SM BOLOTA;Varejo Alimenticio;Matriz;Loja 4;13-3471-5558;;13-3471-4038;4;Av Pres Kennedy, 4964;Vl Tupy;11703-200;Praia Grande;SP;MKR
Supermercado Solemar Ltda;SUPERMERCADO SOLEMAR;Varejo Alimenticio;Matriz;;13-3493-1102;;13-3493-1102;0;Av Dr Roberto de Almeida Vinhas, 4049;Solemar;11709-360;Praia Grande;SP;MKR
Novo Cuca de Praia Grande Ltda;SM CUCA PRAIA GRANDE JD MELVI;Varejo Alimenticio;Filial;03;13-3477-3359;;13-3477-3359;10;Av Marginal, 4648;Jd Melvi;11714-630;Praia Grande;SP;MKR
Mini Mercado Bolota Ltda;MINI MERCADO BOLOTA;Varejo Alimenticio;Matriz;;13 3471-7001;;;2;R Julio Prestes Albuquerque, 52;Balneario Mirim II;11717110;Praia Grande;SP;MKR
Novo Cuca de Praia Grande Ltda;SM CUCA PRAIA GRANDE JD LEBLON;Varejo Alimenticio;Filial;02;13-3471-4551;;13-3471-4551;11;R Aurino Pereira Barbosa, 240;Jd Leblon;11718-020;Praia Grande;SP;MKR
Panif. e Superm. Bolota Ltda;SM BOLOTA;Varejo Alimenticio;Filial;Loja 2;13-3491-1287;;13-3591-3341;4;Av Alexandre de Gusmao, 3316;Tude Bastos;11725-000;Praia Grande;SP;MKR
Supermercado Aresta Ltda;SM ARESTA;Varejo Alimenticio;Filial;;13-3446-1751;;;4;R Santa Cecilia, 439;Agenor de Campos;11730000;Mongagua;SP;MKR
Cia Brasileira de Distribuicao;PAO DE ACUCAR - ITANHAEM - CENTRO;Varejo Alimenticio;Filial;0752;13  3422-1282;;;0;R Joao Mariano, 193;Centro;11740-000;Itanhaem;SP;MKR
Supermercado Baba Ltda;CASA PEQUENA;Varejo Alimenticio;Matriz;;13  3455-2004;;;8;Av Vinte e Quatro de Dezembro, 560;Centro;11750000;Peruibe;SP;MKR
Supermercados Baba;SM BABA;Varejo Alimenticio;Matriz;;13-3455-2004;;;9;Av XXIV de Dezembro, 560;Estacao;11750-000;Peruibe;SP;MKR
Mercado J Freitas Ltda;MERCADO DO JORGINHO;Varejo Alimenticio;Matriz;;13   6871-1367;;;0;R Joao Carneiro dos Santos, 68;Centro;11960-000;Eldorado;SP;MKR
Supermercado Shibata Ltda;SUPERMERCADO SHIBATA;Varejo Alimenticio;Filial;Loja 06;12  224-8383;;12;0;R Pres Juscelino K Oliveira, 420;Jd Humaita;12010600;Taubate;SP;MKR
Cia Brasileira de Distribuicao;PAO DE ACUCAR - TAUBATE- INDEP;Varejo Alimenticio;Filial;0186;12-281-1764;;12-281-1764;14;Av Independencia, 821;Independencia;12031-001;Taubate;SP;MKR
Supermercado Confianca de Taubate Ltda;SM ESTIVA;Varejo Alimenticio;Matriz;;12  232-5799;;12;5;Av Voluntario Benedito Sergio, 209;Estiva;12050470;Taubate;SP;MKR
Carrefour Comercio e Industria Ltda;CARREFOUR CTB;Varejo Alimenticio;Filial;Taubate II;12  3624-5579;;12;0;Av Mal Deodoro, 214;Centro;12080-000;Taubate;SP;MKR
Batistela Sao Luiz Alimentos Ltda;BATISTELA SAO LUIZ;Varejo Alimenticio;Matriz;;12-271-1159;;12-271-1487;3;R Cel Domingos de Castro, 193;Centro;12140000;Sao Luiz do Paraitinga;SP;MKR
Frigorifico Mantiqueira Ltda;FRIGORIFICO MANTIQUEIRA;Industria da Carne;Matriz;;12-3948-1222;;12-3948-1222;0;Rod SJ dos Campos/C do Jordao, s/n Km 100;Buquirinha;12213-730;S J dos Campos;SP;MKR
C & C Casa & Construcao Ltda;C & C;Varejo Outros;Matriz;S J dos Campos;12-3933-6077;;12-3933-6077;0;Av Andromeda, 277 Lj 201;Jd Satelite;12230-000;S J dos Campos;SP;MKR
Mercadinho Sao Francisco Xavier Ltda;MERCADINHO SAO FCO XAVIER;Varejo Alimenticio;Matriz;;12   3939-1237;;12;4;Av Tokio, 524;Jd Tokio;12236-000;S J dos Campos;SP;MKR
Mercearia Norte Velho Ltda;NERTE VELHO;Varejo Alimenticio;Matriz;;12 3931-0184;;;0;R TorataroTakitani, 25;Jd Paraiso;12236280;S J dos Campos;SP;MKR
Fectron Ind. e Com. Ltda;FECTRON;Industria Outros;Matriz;;12-3933 3147;;;0;Pca Cariri, 252;Chac Reunidas;12238-300;S J dos Campos;SP;MKR
Sam's Club;SAO JOSE DOS CAMPOS;Varejo Outros;Filial;13;12 4009-6230;;;0;Av Cassiano Ricardo ,1993;Jardim Alvorada;12240-054;Sao Jose Dos Campos;SP;MKR
Johnson & Johnson Industrial Ltda;FABRICA SANPRO;Industria Outros;Matriz;;12-3932-1700;;12-3932-1700;0;Rod Pres Dutra - Km 154;Jd das Industrias;12240-908;S J dos Campos;SP;MKR
Frigorifico Saubor Ltda;FRIGORIFICO SAUBOR;Industria da Carne;Matriz;;12-3931-2333;;;0;R Dom Pedro L de Oliveira Costa, 1152;Limoeiro;12241-430;S J dos Campos;SP;MKR
Bunge Alimentos S/A;BUNGE ALIMENTOS;Industria Alimentícia;Filial;;12-3922-1311;;12-3922-1311;0;Estr Petybon, s/n;Jaguari;12241-500;S J dos Campos;SP;MKR
Comercial Zaragoza Imp e Exp. Ltda;VILLARREAL SUPERMERCADO;Varejo Alimenticio;Matriz;;12-3941-3080;;;0;R Jose Bonifacio, 35;Vl Ema;12243-340;S J dos Campos;SP;MKR
Servico Social do Comercio;SESC SAO JOSE DOS CAMPOS;Prestação Serviços Clubes;Filial;Sao Jose dos Campos;12  3904-2000;;;0;R Adhemar de Barros, 999;Vl Adyana;12245-010;S J dos Campos;SP;MKR
Frios Laticinios MD Ltda;MD;Varejo Outros;Matriz;;12-3922-4751;;;0;Av Ademar de Barros, 1070;Vl Diana;12245011;S J dos Campos;SP;MKR
Dicico Home Center da Construcao;DICICO;Varejo Outros;Filial;S J dos Campos;12-3923-6304;;;0;Via Dutra, Km 152 Center Vale Shopping;;12247-820;S J dos Campos;SP;MKR
Hitachi Ar Condicionados do Brasil S/A;HITACHI;Industria Outros;Matriz;;12-3906-2125;;12-3905-1711;0;Rod Pres Dutra - Km 141;Eugenio de Melo;12257-820;S J dos Campos;SP;MKR
Nestle Brasil Ltda;NESTLE;Industria Alimentícia;Matriz;;12-3654-1100;;;0;Av Henry Nestle, 1800;Vl Antonio Augusto;12280-000;Cacapava;SP;MKR
James Barbosa Cia Ltda;O LOJAO;Varejo Outros;Filial;;12  3952-6640;;12 -3953-3299;0;R Dr Lucio Malta, 478;Centro;12301001;Jacarei;SP;MKR
Supermercado Shibata Ltda;SM SHIBATA;Varejo Alimenticio;Filial;Loja 04;12 3961-7268;;12;23;Av Getulio Vargas, 1430;Jd Primavera;12305-010;Jacarei;SP;MKR
Jorge Luis de Souza JacareÝ ME;BAR DO JORGE;Varejo Alimenticio;Matriz;;12 3952-3876;;;0;R Regina, 269;Jd Guarani;12307-500;Jacarei;SP;MKR
Supermercadinho Barao do Rio Branco Ltda;SUPERMERCADO TOMAZANI;Varejo Alimenticio;Matriz;;12  3951-7464;;;0;R Crisantemos, 682;Pq Sto Antonio;12309280;Jacarei;SP;MKR
Cia Brasileira de Distribuicao;BARATEIRO - JACAREI - SAO JOAO;Varejo Alimenticio;Filial;1279;12  3953-1611;;12  3953-1611;0;Av Sao Joao, 291;Sao Joao;12322-000;Jacarei;SP;MKR
Cia Brasileira de Distribuicao;PAO DE ACUCAR - PINDAMONHANGABA;Varejo Alimenticio;Filial;1270;12   243-2272;;12 243-4218;0;R Nsra do Bomsucesso, 1650;Alto Cardoso;12400-000;Pindamonhangaba;SP;MKR
M M Vieira & Cia Ltda;MM VIEIRA;Varejo Alimenticio;Matriz;;12-3642-1139;;;0;R Gov Pedro de Toledo, 187;Pq Sao Domingos;12410-300;Pindamonhangaba;SP;MKR
Comercial Semar de Pinda Ltda;SM SEMAR;Varejo Alimenticio;Filial;Pindamonhangaba;12  3648-2997;;12;15;Av Nsa Sra do Bom Sucesso, 1440;Res Coml Vl Verde;12420-010;Pindamonhangaba;SP;MKR
Chocolate Caseiro Campos do Jordao Ltda;CHOCOLATE MONTANHES;Industria Alimentícia;Matriz;;12-262-3900;;12-262-3110;0;R Jose Correa, 100;Rec Floresta Negra;12460-000;Campos do Jordao;SP;MKR
Frigorifico Guara;FRIGORIFICO GUARA;Industria da Carne;Matriz;;12-3132-2699;;12-3132-2699;0;R Br de Rio Branco, 333;Campinho;12502-250;Guaratingueta;SP;MKR
Casa Mantiqueira Ltda;SUPER CENTER MANTIQUEIRA IGA;Varejo Alimenticio;Matriz;;12-3122-3880;;12-3122-3880;20;Rod Guara-Cunha, 111;Tamandare;12503-770;Guara;SP;MKR
Ballerini & Zimermann Ltda;SM BALLERINI;Varejo Alimenticio;Matriz;;12-3152-1781;;12-3152-1377;5;Pca Dr Arnolfo de Azevedo, 186;Centro;12600000;Lorena;SP;MKR
G A Camelo Lorena;MERCADO G;Varejo Alimenticio;Matriz;;12     552-1465;;12;0;R Sete de Setembro, 924;Cruz;12600000;Lorena;SP;MKR
Cia Brasileira de Distribuicao;PAO DE ACUCAR - LORENA;Varejo Alimenticio;Filial;1278;12  553-2866;;;0;R Pedro Vicente de Azevedo, 48/82;Centro;12600-000;Lorena;SP;MKR
Vitor Alberto Diniz;SUPERMERCADO DINIZ;Varejo Alimenticio;Matriz;;12   553-3016;;;4;R Jose Eugenio P Paixao, 166;Vl Celeste;12607-140;Lorena;SP;MKR
Supermercado Alian Ltda;PRODUTOR SM;Varejo Alimenticio;Matriz;;12    3143-4211;;;17;R Cel Jose de Castro, 171;Centro;12700000;Cruzeiro;SP;MKR
Comercial Ipiranga de Generos Alimenticios Ltda;COMERCIAL IPIRANGA;Varejo Alimenticio;Matriz;;12-3144-1628;;12-3144-1628;1;R Ipiranga, 119;Vl Paulista;12700-000;Cruzeiro;SP;MKR
Frigorifico Cleumar Ltda;CLEUMAR;Industria da Carne;Filial;;12-3144-1120;;;0;R Aurelio Gomes Novaes, 357;Itagacaba;12700-000;Cruzeiro;SP;MKR
Supermercado Arapei Ltda;SUPERMERCADO ARAPEI;Varejo Alimenticio;Matriz;;12  3115-1115;;12;1;Pca  Alambari, 18;Centro;12870-000;Arapei;SP;MKR
Santher Papel Santa Theresinha SA;SANTHER;Industria Outros;Matriz;;7841-1500;;7841-1505;0;Rod Capitao Barduino, km 98;;12900-000;Braganca Paulista;SP;MKR
Cerealista Pires Pimentel Ltda;SUPERMERCADOS ALEGRIA;Varejo Alimenticio;Matriz;;4033-3026/4035-363;;4033-3051;8;R Antonio Pires Pimentel, 153;Centro;12900-001;Braganca Paulista;SP;MKR
Salvatore Petruso Supermercado do Papai Ltda;SUPERMERCADO DO PAPAI;Varejo Alimenticio;Matriz;1;4034-0020;;;0;R Pe Luis Apezzato, 139;Centro;12900-041;Braganca Paulista;SP;MKR
Hara Empreendimentos Ltda;TH DISTRIBUIDORA;Varejo Alimenticio;Filial;Loja 02;4033-4046;;;0;Av Jose Gomes da Rocha Leal, 1201/1241;Centro;12900-301;Braganca Paulista;SP;MKR
Hara Empreendimentos Ltda;TH DISTRIBUIDORA;Varejo Alimenticio;Filial;Loja 01;4033-2578;;;0;Pca Chico Major, 72;Lavapes;12903-060;Braganca Paulista;SP;MKR
Neimar Produtos Alimenticios Ltda;NEIMAR;Varejo Alimenticio;Matriz;;11-4034-0557;;11-4034-0557;0;Av Euzebio Savaio, 180;Jd Sao Cristovao;12904-140;Braganca Paulista;SP;MKR
Salvatore Petruso Supermercado do Papai Ltda;SUPERMERCADO DO PAPAI;Varejo Alimenticio;Filial;2;4035-3633;;;0;R Dr Freitas, 777;Matadouro;12910-340;Braganca Paulista;SP;MKR
Habibs Fast Food;HABIBS BRAGANCA PAULISTA;Varejo Alimenticio;Filial;;4034-3411;;4034-4002;0;Av Dr Jose de Aguiar Leme, 70;Taboao;12914-495;Braganca Paulista;SP;MKR
Arcor do Brasil Ltda;ARCOR DO BRASIL;Industria Alimentícia;Filial;;11-4034-8900;;11-4034-1236;0;Caixa Postal 385;Curitibano;12914-970;Braganca Paulista;SP;MKR
Supermercado do Tanque Ltda;SUPERMERCADO DO TANQUE;Varejo Alimenticio;Matriz;;4416-1627;;;2;R Nelo Bacci, 180;Tanque;12940-000;Atibaia;SP;MKR
Atibaia Alimentos Abatedouro de aves Ltda;ATIBAIA ALIMENTOS;Industria Alimentícia;Matriz;;4411-1366 / 4417-76;;4411-0467;0;Av Imperial, 850;Jd Imperial;12950-000;Atibaia;SP;MKR
Mini Mercado Salario Minimo Ltda;UNIAO SUPERMERCADOS;Varejo Alimenticio;Matriz;Loja 01;4412-3457;;;3;Av Ind Walter Kloth, 1260;Jd Imperial;12951-200;Atibaia;SP;MKR
Litens Automotive do Brasil;LITENS;Varejo Outros;Matriz;;11-4414-5913;;11-4414-5919;0;Av Tegola, 888;Ponte Alta;12952-820;Sao Paulo;SP;MKR
Supermercado Ideal Ltda;SM IDEAL;Varejo Alimenticio;Matriz;;4018-4936;;;4;R Florencio Domingues, 81;Centro;12995-000;Pinhalzinho;SP;MKR
Fernando Monteiro Moraes;ESPLANADA MOVEIS;Atacado Outros;Matriz;01;19-3234-3184;;;0;Rua Treze de Maio ,735;Centro;13010-071;Campinas;SP;MKR
Grupo Fartura de Hortifruti Ltda;REDE OPA;Varejo Alimenticio;Filial;;19-3272-1182;;;0;Av das Amoreiras, 1699;Sao Bernardo;13012-100;Campinas;SP;MKR
Habibs Fast Food;HABIBS CAMPINAS IV;Varejo Alimenticio;Filial;;19  3232-1577;;19   3231-9000;0;Av Francisco Glicerio, 992;Centro;13012-100;Campinas;SP;MKR
Supermercado Galassi Ltda;SM GALASSI;Atacado Outros;Filial;4;19-3258-7585;;;8;Rua Rei Salomao,180;Jd. Conceicao;13012-100;SIOZA;SP;MKR
Supermercados Galassi;SM GALASSI;Varejo Alimenticio;Filial;Loja 4;19-3258-7585;;;0;R Rei Salomao, 80;Jd Conceicao;13012-100;Sousa;SP;MKR
La Basque Alimentos Ltda.;LABASQUE;Industria Alimentícia;Matriz;;19-3256-2633;;19-3256-9244;0;Caixa Postal 191;Zona Rural;13012-970;Campinas;SP;MKR
Seller M N T Magazine Ltda;LOJA SELLER;Varejo Alimenticio;Matriz;;19   3231-6914;;;0;R Jose Paulino, 1040;Centro;13013-001;Campinas;SP;MKR
Frigorifico Nishimo;FRIGORIFICO NISHIMO;Industria da Carne;Matriz;;19-3232-8940;;19-3233-7726;0;R Mal Deodoro, 639;Centro;13020-000;Campinas;SP;MKR
Habibs Fast Food;HABIBS CAMPINAS I (DELIVERY);Varejo Alimenticio;Filial;;19-3231-0085;;19-3233-0773;0;Av Br de Itapura, 1605;Botafogo;13020-433;Campinas;SP;MKR
Fari Comercio de Produtos Alimenticios Ltda;PASTIFICIO DIFARI;Industria Alimentícia;Matriz;;19-3231-3247;;;0;R Santos Dumont, 505;Cambui;13024021;Campinas;SP;MKR
Carrefour Comercio e Industria Ltda;CHAMPION;Varejo Alimenticio;Filial;Campinas;19-3251-9820;;19-3251-2958;18;Av Jose de Souza Campos, s/n;Cambui;13025-320;Campinas;SP;MKR
Bertelli & Rueda Ltda;EQUIPA TOTAL;Varejo Outros;Matriz;;19  3278-0300;;19;0;R Quata, 38;Jd do Trevo;13030-100;Campinas;SP;MKR
Enxuto Supermercados Ltda;ENXUTO COMERCIAL;Varejo Alimenticio;Filial;;19-3273-8000;;19-3273-8000;0;R Sao Luiz do Paraitinga, 289;Vl Nova;13031-070;Campinas;SP;MKR
Alexandre Dimas Vitachi - ME;PAULISTA REVESTIMENTOS;Varejo Outros;Matriz;;19;;;0;R Br de Pirapitingui, 365;Vl Industrial;13032-640;Campinas;SP;MKR
Supermercado Galassi Ltda;SM GALASSI;Atacado Outros;Filial;3;19-3212-1739;19-3213-4394;19-3213-4394;11;Av. Antonio Vilela Jr,33;Jd. Bandeirantes;13033-580;Campinas;SP;MKR
Supermercados Galassi;SM GALASSI;Varejo Alimenticio;Filial;Loja 3;19-3212-1739;;;0;Av Antonio Vilela Junior, 33;Jd Bandeirantes;13033-580;Campinas;SP;MKR
Holandesa & Cia;HOLANDESA;Industria Alimentícia;Matriz;;19-3238-8880;;19-3238-8880;0;R Fernao Pompeu de Camargo, 1900;Jd do Trevo;13036-321;Campinas;SP;MKR
Supermercado Benatti Ltda;SUPERMERCADO BENATTI;Varejo Alimenticio;Filial;;19  3278-3222;;19-3278-4258;4;R Santa Barbara do Rio Pardo, 522;Jd Nova Europa;13040-230;Campinas;SP;MKR
C & C Casa & Construcao Ltda;C & C;Varejo Outros;Filial;Campinas;19-3235-2976;;;0;Av da Saudade, 1214;Ponte Preta;13041-670;Campinas;SP;MKR
Supermercado Galassi Ltda;SM GALASSI;Atacado Outros;Filial;2;19-3231-9260;19-76-2613;19-3276-2613;0;Av. Da Saudade,960;Ponte Preta;13041-670;Campinas;SP;MKR
Supermercados Galassi;SM GALASSI;Varejo Alimenticio;Filial;Loja 2;19-3231-9260;;;0;Av da Saudade, 960;Ponte Preta;13041-670;Campinas;SP;MKR
Supermercado Barbielli Ltda;SUPERMERCADO BARBIELLI;Varejo Alimenticio;Matriz;;19  3279-2034;;19   3279-2034;0;R Paulo Correa Viana, 441;Pq Jambeiro;13042-180;Campinas;SP;MKR
Nutron Alimentos ltda;NUTRON;Industria Alimentícia;Matriz;;19-2101-5098;;19-3729-5001;0;R Ricardo Bassoli Cezare, 3880/3850;Jd das Bandeiras;13050-080;Campinas;SP;MKR
Irmaos Zanluch Ltda;MERCADO INDIANOPOLIS;Varejo Alimenticio;Matriz;;19   3227-0788;;;3;R Waldemar Jose Strazzacappa, 336;Jd Indianopolis;13050151;Campinas;SP;MKR
Pastificio Selmi S/A;SELMI;Industria Alimentícia;Matriz;;19-3269-4755;;19-3227-5809;0;Av Mirandopolis, 860;Vl Pompeia;13050-360;Campinas;SP;MKR
Comercial Lessa & Freitas Ltda;SUPERMERCADO J L;Varejo Alimenticio;Matriz;;19  3223-1738;;19  3223-1738;6;R Joaquim Lacerda Coelho, 2079;Pq Ipiranga;13050-800;Campinas;SP;MKR
